id,host_identity_verified,neighbourhood_group,cancellation_policy,room_type,construction_year,price_us_dol,service_fee,minimum_nights,number_of_reviews,review_rate_number
14973974,unconfirmed,brooklyn,moderate,entire home/apt,2018,106,21,3,70,4
53311326,verified,brooklyn,moderate,entire home/apt,2017,741,148,4,1,5
19565244,unconfirmed,queens,strict,private room,2019,256,51,2,34,5
7216920,verified,manhattan,moderate,entire home/apt,2019,751,150,1,289,4
13967131,verified,brooklyn,strict,private room,2015,1038,208,1,0,2
8492181,verified,queens,flexible,private room,2020,423,85,1,74,3
5768790,unconfirmed,manhattan,flexible,entire home/apt,2013,395,79,3,11,3
29796049,unconfirmed,queens,moderate,entire home/apt,2014,452,90,1,1,4
12329009,unconfirmed,brooklyn,strict,entire home/apt,2019,205,41,2,0,2
8025487,unconfirmed,manhattan,moderate,private room,2007,410,82,1,0,5
5572171,unconfirmed,manhattan,flexible,private room,2006,351,70,1,4,2
32123441,unconfirmed,brooklyn,flexible,entire home/apt,2014,671,134,2,170,2
55787839,unconfirmed,brooklyn,strict,entire home/apt,2009,560,112,5,1,3
41632942,unconfirmed,brooklyn,strict,private room,2020,573,115,2,0,5
23268967,unconfirmed,manhattan,flexible,entire home/apt,2013,841,168,2,5,3
23978673,verified,bronx,strict,private room,2012,476,95,1,0,3
40085950,verified,brooklyn,flexible,entire home/apt,2012,518,104,3,230,3
55938617,verified,manhattan,strict,entire home/apt,2015,1040,208,1,24,4
19394583,verified,brooklyn,strict,entire home/apt,2021,426,85,3,11,3
37535429,verified,queens,strict,private room,2019,792,158,2,7,2
22906659,unconfirmed,brooklyn,moderate,private room,2013,872,174,1,14,3
13273994,unconfirmed,manhattan,moderate,private room,2012,1078,216,2,5,3
39020011,unconfirmed,manhattan,moderate,private room,2005,1084,217,1,1,2
39338136,unconfirmed,manhattan,strict,entire home/apt,2010,1177,235,2,0,2
21895950,unconfirmed,manhattan,moderate,entire home/apt,2008,174,35,1,14,2
4999988,unconfirmed,brooklyn,moderate,entire home/apt,2009,1125,225,1,111,3
18635723,verified,manhattan,strict,entire home/apt,2021,368,74,1,8,2
52586156,verified,manhattan,flexible,private room,2018,236,47,5,0,4
25047373,unconfirmed,queens,strict,private room,2009,976,195,1,12,4
51923948,verified,manhattan,moderate,entire home/apt,2017,486,97,1,3,3
7061172,verified,brooklyn,strict,private room,2020,1020,204,1,215,1
29606610,verified,manhattan,strict,entire home/apt,2008,662,132,1,21,3
11145982,unconfirmed,manhattan,strict,private room,2005,240,48,2,1,5
22880148,unconfirmed,brooklyn,moderate,private room,2006,612,122,4,0,5
5096088,unconfirmed,brooklyn,moderate,entire home/apt,2011,1182,236,3,123,2
4997227,unconfirmed,manhattan,strict,private room,2021,246,49,2,2,4
1840832,unconfirmed,queens,strict,private room,2003,1127,225,1,296,4
29558560,verified,brooklyn,flexible,private room,2015,614,123,2,172,4
23149671,unconfirmed,brooklyn,flexible,entire home/apt,2011,1089,218,2,4,2
12502431,unconfirmed,manhattan,moderate,private room,2003,514,103,2,0,4
2797968,unconfirmed,brooklyn,strict,entire home/apt,2011,313,63,5,36,3
37107949,unconfirmed,queens,moderate,entire home/apt,2013,550,110,30,1,5
52884950,unconfirmed,brooklyn,flexible,private room,2008,194,39,2,43,2
33502534,unconfirmed,manhattan,moderate,private room,2020,1114,223,3,43,5
4310718,unconfirmed,manhattan,moderate,entire home/apt,2008,379,76,2,178,1
23669385,unconfirmed,queens,strict,entire home/apt,2022,796,159,1,51,2
27717192,verified,queens,flexible,entire home/apt,2011,898,180,3,0,4
34258081,verified,queens,flexible,private room,2022,166,33,3,14,2
23523025,verified,brooklyn,flexible,private room,2020,312,62,3,3,3
51128636,unconfirmed,queens,flexible,private room,2016,994,199,2,34,5
25970819,verified,queens,flexible,entire home/apt,2004,787,157,3,1,5
42151000,unconfirmed,brooklyn,flexible,entire home/apt,2021,562,112,6,3,2
46493735,unconfirmed,manhattan,strict,private room,2014,198,40,5,0,3
48498031,unconfirmed,manhattan,moderate,private room,2016,872,174,1,2,4
14916535,unconfirmed,brooklyn,flexible,private room,2007,266,53,2,64,5
53074389,verified,manhattan,flexible,entire home/apt,2008,732,146,90,0,5
11129966,unconfirmed,brooklyn,strict,private room,2011,406,81,1,6,4
49748439,verified,brooklyn,moderate,entire home/apt,2007,1089,218,3,7,1
41892523,unconfirmed,manhattan,flexible,entire home/apt,2021,254,51,2,15,2
34480657,unconfirmed,queens,flexible,entire home/apt,2021,930,186,4,39,5
40142285,verified,manhattan,flexible,private room,2017,1136,227,1,196,3
46060179,unconfirmed,bronx,flexible,private room,2016,1132,226,1,57,1
34368541,verified,brooklyn,flexible,private room,2017,527,105,30,32,5
39853432,unconfirmed,manhattan,flexible,entire home/apt,2018,1051,210,2,66,1
35348873,verified,manhattan,flexible,hotel room,2018,970,194,1,11,2
2701315,unconfirmed,brooklyn,moderate,entire home/apt,2011,301,60,2,10,3
29888835,verified,manhattan,flexible,entire home/apt,2014,93,19,3,2,5
47522670,verified,brooklyn,moderate,private room,2005,716,143,30,0,2
37450927,unconfirmed,manhattan,moderate,private room,2009,823,70.42105263,1,3,3
4164910,unconfirmed,brooklyn,flexible,private room,2015,701,140,2,86,3
21099533,verified,brooklyn,moderate,private room,2013,485,97,4,1,2
10655540,verified,manhattan,flexible,private room,2003,490,98,1,247,2
29086343,unconfirmed,manhattan,flexible,entire home/apt,2013,264,53,2,130,2
43118629,verified,brooklyn,flexible,private room,2016,1046,209,1,23,1
17966887,unconfirmed,manhattan,flexible,entire home/apt,2008,627,125,30,0,5
46446237,verified,queens,moderate,entire home/apt,2014,951,190,2,59,5
14421121,verified,brooklyn,flexible,entire home/apt,2014,323,65,2,83,4
41620792,unconfirmed,manhattan,flexible,entire home/apt,2005,939,188,1,11,4
23703075,verified,manhattan,strict,entire home/apt,2011,282,56,3,21,5
17997264,unconfirmed,manhattan,strict,entire home/apt,2004,392,78,30,0,2
50217341,verified,manhattan,strict,entire home/apt,2013,56,11,3,4,1
47900443,verified,queens,flexible,private room,2006,1003,201,1,108,5
28181124,verified,brooklyn,moderate,private room,2007,75,15,1,0,5
50803884,verified,queens,flexible,entire home/apt,2021,1031,206,1,46,2
29524317,unconfirmed,brooklyn,strict,private room,2012,915,183,3,1,4
36021022,unconfirmed,manhattan,moderate,entire home/apt,2009,158,32,1,11,2
14529925,verified,manhattan,moderate,entire home/apt,2020,141,28,4,12,3
27631585,verified,brooklyn,strict,private room,2017,342,68,7,0,3
36148603,unconfirmed,queens,strict,private room,2005,999,200,1,30,4
11516576,unconfirmed,brooklyn,flexible,entire home/apt,2022,995,199,3,54,5
54863841,unconfirmed,manhattan,strict,entire home/apt,2012,589,118,4,34,2
9253803,verified,brooklyn,flexible,private room,2010,1083,217,10,94,2
35387534,verified,brooklyn,flexible,entire home/apt,2005,538,108,7,49,3
3148126,unconfirmed,brooklyn,flexible,entire home/apt,2011,1016,203,3,149,1
36306009,unconfirmed,manhattan,moderate,private room,2011,826,165,30,5,5
37622692,unconfirmed,brooklyn,moderate,private room,2016,415,83,1,1,3
5941107,verified,brooklyn,flexible,entire home/apt,2014,204,41,3,8,2
44176836,verified,queens,moderate,private room,2008,601,120,1,131,5
49159135,verified,manhattan,moderate,entire home/apt,2007,598,120,5,0,4
14510042,unconfirmed,manhattan,moderate,private room,2021,177,35,2,52,3
27556472,unconfirmed,manhattan,moderate,entire home/apt,2015,433,87,2,0,2
14337172,verified,manhattan,strict,entire home/apt,2021,521,104,3,10,1
19906013,unconfirmed,queens,moderate,private room,2019,742,148,30,0,4
28137492,unconfirmed,staten island,strict,entire home/apt,2017,616,123,365,0,4
41840607,verified,queens,moderate,private room,2014,565,113,2,5,4
55888910,unconfirmed,manhattan,moderate,private room,2018,230,46,240,0,5
1598372,unconfirmed,manhattan,moderate,private room,2018,722,144,1,3,3
3360209,unconfirmed,manhattan,flexible,private room,2011,374,75,30,18,1
31677735,unconfirmed,queens,strict,private room,2011,1192,238,2,87,5
41547336,verified,queens,flexible,entire home/apt,2020,336,67,2,31,3
14540971,verified,manhattan,strict,private room,2020,823,165,3,6,4
23990824,unconfirmed,queens,flexible,private room,2013,132,26,30,0,3
49694866,unconfirmed,manhattan,strict,private room,2018,691,138,2,11,2
29150410,unconfirmed,brooklyn,flexible,entire home/apt,2012,288,58,1,94,5
47004612,unconfirmed,queens,strict,entire home/apt,2015,522,104,3,22,5
1783393,verified,manhattan,strict,entire home/apt,2008,878,176,4,51,5
10497582,unconfirmed,brooklyn,strict,private room,2005,389,78,1,47,3
43445039,unconfirmed,manhattan,moderate,entire home/apt,2006,880,176,2,4,2
11503321,unconfirmed,manhattan,moderate,private room,2011,449,90,2,41,5
28597558,unconfirmed,manhattan,moderate,entire home/apt,2006,1059,212,30,7,5
42674580,verified,brooklyn,flexible,entire home/apt,2018,957,191,3,0,3
17280931,unconfirmed,brooklyn,flexible,private room,2012,495,99,2,3,5
13166296,verified,brooklyn,flexible,entire home/apt,2003,225,45,2,1,5
20923902,unconfirmed,brooklyn,flexible,private room,2017,895,179,30,2,2
47688912,unconfirmed,manhattan,flexible,shared room,2004,707,141,1,32,2
17198086,unconfirmed,brooklyn,flexible,private room,2020,1139,228,1,27,5
35637174,unconfirmed,manhattan,flexible,entire home/apt,2014,332,66,30,7,4
19101312,verified,manhattan,flexible,shared room,2018,557,111,1,13,5
33675956,verified,staten island,flexible,private room,2009,1036,207,1,4,4
37414475,verified,brooklyn,flexible,private room,2019,706,141,30,2,2
54325349,verified,manhattan,flexible,private room,2007,1112,222,1,7,3
29371330,verified,manhattan,flexible,private room,2010,982,196,1,3,3
35377040,unconfirmed,brooklyn,strict,entire home/apt,2011,1075,215,10,181,3
54863289,verified,queens,strict,entire home/apt,2003,250,50,2,11,5
36571113,unconfirmed,brooklyn,strict,private room,2006,612,122,30,26,4
34659603,unconfirmed,brooklyn,moderate,private room,2008,456,91,1,1,3
49129310,unconfirmed,manhattan,moderate,entire home/apt,2010,88,18,30,11,2
35861960,unconfirmed,manhattan,flexible,entire home/apt,2017,269,54,30,58,3
14629339,verified,brooklyn,moderate,entire home/apt,2009,77,15,2,69,2
14291883,verified,manhattan,flexible,private room,2015,1134,227,1,1,3
20557174,unconfirmed,manhattan,moderate,entire home/apt,2006,587,117,1,52,5
40860827,unconfirmed,manhattan,strict,private room,2011,1036,207,2,3,4
35058363,verified,brooklyn,strict,private room,2014,417,83,1,12,4
10133617,unconfirmed,manhattan,moderate,entire home/apt,2018,290,58,4,6,3
27692890,unconfirmed,brooklyn,strict,entire home/apt,2020,862,172,1,0,5
20106498,verified,queens,strict,private room,2006,749,150,30,2,4
55331639,verified,manhattan,strict,entire home/apt,2022,903,181,7,5,3
51535681,verified,queens,moderate,private room,2015,80,16,3,0,2
15516885,verified,manhattan,strict,entire home/apt,2003,856,171,2,3,4
17739340,unconfirmed,manhattan,moderate,private room,2011,483,97,5,20,5
55342133,verified,queens,strict,entire home/apt,2018,847,169,1,45,4
13487182,unconfirmed,manhattan,moderate,entire home/apt,2009,445,89,1,15,1
29995981,verified,manhattan,flexible,private room,2016,247,49,1,24,4
35956403,verified,manhattan,moderate,private room,2009,713,143,1,4,3
1960681,verified,manhattan,flexible,entire home/apt,2016,926,185,5,18,1
17188144,unconfirmed,manhattan,flexible,entire home/apt,2005,750,150,1,75,2
24515509,verified,manhattan,flexible,private room,2003,494,99,3,10,2
18632409,unconfirmed,manhattan,strict,entire home/apt,2010,555,111,3,0,2
53868597,verified,manhattan,strict,entire home/apt,2016,221,44,30,1,4
45349921,unconfirmed,brooklyn,moderate,entire home/apt,2006,333,67,3,2,1
2739976,unconfirmed,manhattan,moderate,entire home/apt,2004,767,153,1,0,3
5492640,unconfirmed,manhattan,flexible,entire home/apt,2012,1086,217,5,9,2
8772197,verified,brooklyn,strict,private room,2016,787,157,1,16,1
9005820,verified,brooklyn,flexible,private room,2006,508,102,5,3,3
27021294,verified,manhattan,flexible,entire home/apt,2008,1112,222,30,0,2
3735221,unconfirmed,manhattan,moderate,private room,2003,88,18,3,16,1
1164265,confirmed,manhattan,flexible,private room,2019,960,192,30,64,1
12696841,unconfirmed,manhattan,flexible,private room,2016,346,69,20,0,1
50479132,unconfirmed,brooklyn,moderate,entire home/apt,2022,723,145,4,91,2
5579351,verified,manhattan,strict,entire home/apt,2012,843,169,3,2,5
23065169,unconfirmed,manhattan,strict,private room,2019,918,184,5,2,4
20638915,unconfirmed,brooklyn,flexible,private room,2015,197,39,2,25,3
22180384,verified,queens,moderate,private room,2014,68,14,1,5,2
52383462,unconfirmed,manhattan,strict,entire home/apt,2009,1185,237,3,27,3
27065478,unconfirmed,queens,strict,private room,2010,758,152,1,0,5
42019552,unconfirmed,manhattan,flexible,entire home/apt,2008,462,92,14,2,3
51730643,verified,brooklyn,flexible,private room,2015,1086,217,1,2,1
21138746,unconfirmed,brooklyn,moderate,private room,2019,209,42,2,5,5
31633551,unconfirmed,manhattan,moderate,entire home/apt,2014,164,33,2,34,3
8378959,unconfirmed,brooklyn,moderate,private room,2021,816,163,1,1,5
38947108,unconfirmed,manhattan,flexible,shared room,2004,975,195,1,47,3
3689380,verified,brooklyn,moderate,entire home/apt,2011,119,24,2,19,4
33881964,unconfirmed,brooklyn,flexible,entire home/apt,2011,266,53,1,24,3
17559842,verified,manhattan,strict,entire home/apt,2017,556,111,4,12,3
39399994,unconfirmed,brooklyn,moderate,private room,2012,619,124,2,19,1
50455935,verified,brooklyn,flexible,private room,2014,808,162,2,167,2
39723089,unconfirmed,brooklyn,strict,entire home/apt,2011,907,181,5,145,4
48615671,verified,manhattan,flexible,private room,2014,562,112,7,0,1
12760908,unconfirmed,brooklyn,flexible,entire home/apt,2013,846,169,3,4,2
27664171,unconfirmed,manhattan,flexible,entire home/apt,2018,1134,227,30,0,5
6707147,verified,queens,flexible,entire home/apt,2017,659,132,3,45,3
11891035,verified,brooklyn,strict,entire home/apt,2006,462,92,30,7,5
23346289,unconfirmed,brooklyn,flexible,private room,2015,180,36,10,0,4
12160005,unconfirmed,brooklyn,moderate,entire home/apt,2014,1102,220,2,50,5
16830254,verified,brooklyn,moderate,private room,2011,88,18,30,5,5
17613968,verified,manhattan,flexible,private room,2014,756,151,1,1,5
32722687,unconfirmed,brooklyn,strict,private room,2008,776,155,1,28,3
11592793,verified,manhattan,strict,entire home/apt,2012,525,105,30,2,4
52194575,verified,brooklyn,strict,private room,2019,1187,237,3,1,2
28778160,verified,brooklyn,strict,entire home/apt,2016,570,114,30,68,3
4566985,verified,brooklyn,flexible,entire home/apt,2022,185,37,2,1,4
21872201,unconfirmed,manhattan,flexible,private room,2007,593,119,1,54,2
1128365,unconfirmed,queens,strict,entire home/apt,2020,656,131,14,1,5
16407745,verified,brooklyn,strict,private room,2021,823,165,1,73,4
19643118,unconfirmed,brooklyn,moderate,private room,2022,92,18,2,4,2
41825695,unconfirmed,manhattan,strict,private room,2014,740,148,2,12,5
22381974,verified,manhattan,moderate,entire home/apt,2005,64,13,30,0,2
28365040,verified,queens,moderate,private room,2017,643,129,3,0,3
38402540,verified,brooklyn,moderate,entire home/apt,2015,562,112,2,6,2
28707466,verified,brooklyn,moderate,entire home/apt,2020,680,136,4,1,2
30023596,verified,manhattan,flexible,entire home/apt,2020,1165,233,2,26,3
45087027,verified,manhattan,moderate,entire home/apt,2007,590,118,5,53,5
22364852,verified,manhattan,flexible,entire home/apt,2017,104,21,30,0,4
35076589,verified,brooklyn,moderate,private room,2015,1051,210,1,33,5
50215684,verified,brooklyn,flexible,entire home/apt,2015,647,129,3,48,1
15798558,unconfirmed,brooklyn,moderate,entire home/apt,2018,649,130,1,89,3
20052372,unconfirmed,brooklyn,strict,private room,2015,162,32,1,4,2
10563858,verified,manhattan,strict,entire home/apt,2007,323,65,6,2,4
5581560,verified,manhattan,flexible,entire home/apt,2019,641,128,5,8,1
15383780,unconfirmed,manhattan,flexible,entire home/apt,2019,245,49,2,65,4
27295787,unconfirmed,brooklyn,flexible,private room,2021,745,149,2,1,2
31333100,verified,brooklyn,flexible,entire home/apt,2022,1120,224,8,51,5
30578106,unconfirmed,manhattan,moderate,private room,2012,596,119,1,2,4
11609914,verified,manhattan,moderate,entire home/apt,2008,1126,225,1,2,1
53168280,unconfirmed,brooklyn,moderate,private room,2020,529,106,1,0,3
18616945,verified,queens,moderate,private room,2017,164,33,7,17,5
24368597,unconfirmed,queens,moderate,private room,2017,521,104,2,11,5
23015462,unconfirmed,brooklyn,strict,entire home/apt,2016,1024,205,3,0,5
7557689,verified,manhattan,flexible,entire home/apt,2009,662,132,1,206,1
39725851,verified,brooklyn,flexible,private room,2010,339,68,2,35,5
38026976,verified,brooklyn,strict,private room,2006,468,94,30,12,3
44580568,unconfirmed,brooklyn,flexible,private room,2005,1093,219,1,82,4
32547055,unconfirmed,manhattan,strict,private room,2011,935,187,2,15,5
1083629,verified,brooklyn,moderate,private room,2003,1133,227,3,200,5
56479871,unconfirmed,manhattan,strict,private room,2008,622,124,2,1,1
4619453,unconfirmed,manhattan,strict,private room,2013,1184,237,1,193,2
56514666,unconfirmed,brooklyn,moderate,entire home/apt,2021,514,103,3,7,4
48396408,unconfirmed,manhattan,moderate,private room,2020,531,106,2,44,2
49989241,verified,queens,strict,entire home/apt,2016,454,91,4,45,5
8394424,unconfirmed,brooklyn,flexible,private room,2017,348,70,5,3,3
37545922,unconfirmed,manhattan,strict,private room,2019,296,59,30,1,5
12314649,verified,manhattan,flexible,entire home/apt,2009,541,108,4,33,3
54139224,unconfirmed,manhattan,strict,entire home/apt,2022,1125,225,3,1,3
9593467,verified,brooklyn,moderate,private room,2011,819,164,3,26,2
2141836,unconfirmed,manhattan,strict,entire home/apt,2019,617,123,3,25,3
54578302,verified,brooklyn,moderate,entire home/apt,2016,157,31,2,24,2
45237805,unconfirmed,brooklyn,flexible,private room,2005,287,57,4,1,4
18599823,unconfirmed,manhattan,flexible,entire home/apt,2008,422,84,6,38,2
4503470,unconfirmed,brooklyn,moderate,private room,2011,1191,238,4,14,4
21441407,unconfirmed,brooklyn,strict,private room,2017,888,178,1,13,2
50141676,unconfirmed,manhattan,moderate,entire home/apt,2014,740,148,30,0,2
40173766,unconfirmed,brooklyn,moderate,entire home/apt,2019,287,57,30,9,5
17904478,unconfirmed,brooklyn,moderate,entire home/apt,2016,972,194,45,1,2
55358150,unconfirmed,manhattan,moderate,entire home/apt,2008,88,18,4,6,5
55620492,unconfirmed,queens,flexible,private room,2013,138,28,2,21,4
3221582,verified,brooklyn,strict,private room,2004,131,26,1,96,5
51436820,unconfirmed,manhattan,moderate,entire home/apt,2019,610,122,1,1,5
5620773,unconfirmed,manhattan,moderate,private room,2003,1097,219,1,103,3
4096978,verified,brooklyn,moderate,entire home/apt,2012,1045,209,3,2,3
31941182,unconfirmed,manhattan,moderate,entire home/apt,2005,706,141,30,1,5
11148744,verified,manhattan,flexible,private room,2017,622,124,2,121,2
14912116,verified,queens,flexible,private room,2017,678,136,2,65,3
20770915,unconfirmed,manhattan,flexible,private room,2016,290,58,1,15,3
14720468,verified,brooklyn,moderate,private room,2016,639,128,3,15,3
53103661,verified,brooklyn,strict,private room,2009,816,163,2,4,2
54094487,verified,manhattan,strict,entire home/apt,2005,1042,208,29,1,5
55091941,unconfirmed,manhattan,strict,private room,2018,326,65,1,7,5
17963574,verified,manhattan,strict,private room,2019,792,158,5,9,4
21652938,unconfirmed,queens,strict,entire home/apt,2010,739,148,2,12,3
28462244,verified,manhattan,flexible,entire home/apt,2006,390,78,30,1,5
22781839,verified,brooklyn,flexible,private room,2011,996,199,1,8,3
15724549,unconfirmed,manhattan,flexible,entire home/apt,2007,1072,214,120,0,2
57061995,unconfirmed,brooklyn,moderate,private room,2017,342,68,2,5,1
46177819,verified,brooklyn,strict,entire home/apt,2009,452,90,2,51,5
6338211,verified,queens,moderate,entire home/apt,2003,361,72,1,9,1
55171472,unconfirmed,staten island,moderate,private room,2015,526,105,1,2,5
9483007,verified,brooklyn,moderate,private room,2006,755,151,3,3,5
56986882,unconfirmed,brooklyn,moderate,entire home/apt,2004,765,153,3,0,3
11931353,unconfirmed,brooklyn,flexible,entire home/apt,2005,160,32,7,1,4
1266440,unconfirmed,brooklyn,moderate,entire home/apt,2017,1060,212,28,101,4
46627391,verified,manhattan,flexible,entire home/apt,2016,906,181,2,121,4
8584415,verified,manhattan,flexible,private room,2013,790,158,1,0,3
24907089,unconfirmed,manhattan,moderate,entire home/apt,2004,824,165,3,7,5
12370432,unconfirmed,brooklyn,strict,private room,2011,105,21,1,0,2
2613500,unconfirmed,manhattan,moderate,private room,2015,1009,202,3,139,2
32144981,verified,manhattan,moderate,entire home/apt,2013,320,64,3,3,3
15673738,verified,brooklyn,moderate,private room,2011,683,137,1,28,4
41328625,unconfirmed,manhattan,flexible,private room,2012,1015,203,5,91,3
1088047,unconfirmed,brooklyn,moderate,entire home/apt,2007,1013,203,6,27,3
15699144,verified,manhattan,moderate,entire home/apt,2016,546,109,1,1,4
55823739,verified,brooklyn,moderate,private room,2009,904,181,2,54,3
33431287,verified,brooklyn,flexible,private room,2016,878,176,3,87,4
3956693,verified,brooklyn,flexible,private room,2006,388,78,5,3,4
4563671,verified,manhattan,moderate,private room,2014,1186,237,7,10,3
36301591,unconfirmed,brooklyn,strict,entire home/apt,2007,794,159,30,3,3
48252258,unconfirmed,queens,strict,private room,2012,789,158,1,49,2
48185430,verified,staten island,flexible,entire home/apt,2010,153,31,1,108,5
27682397,verified,manhattan,flexible,private room,2021,1144,229,1,1,3
29464117,unconfirmed,brooklyn,flexible,private room,2018,622,124,1,4,4
10997966,verified,brooklyn,flexible,entire home/apt,2022,388,78,7,0,3
20558279,verified,brooklyn,strict,entire home/apt,2017,1086,217,30,5,5
23761619,unconfirmed,manhattan,flexible,entire home/apt,2019,285,57,5,2,4
39351391,verified,manhattan,moderate,entire home/apt,2007,272,54,1,102,5
41807469,verified,manhattan,moderate,entire home/apt,2014,969,194,75,0,3
55315623,unconfirmed,queens,moderate,private room,2022,882,176,5,2,2
39382320,unconfirmed,manhattan,moderate,entire home/apt,2018,198,40,3,25,3
14688435,verified,manhattan,strict,entire home/apt,2022,862,172,5,2,4
49234800,verified,queens,flexible,private room,2008,682,136,3,51,5
11960625,verified,queens,flexible,entire home/apt,2014,596,119,30,4,5
14683464,unconfirmed,brooklyn,moderate,private room,2016,670,134,2,1,2
42056557,unconfirmed,manhattan,strict,entire home/apt,2022,300,60,3,17,5
47316662,unconfirmed,manhattan,moderate,entire home/apt,2019,329,66,30,1,3
19265897,verified,manhattan,flexible,entire home/apt,2009,423,85,18,2,2
40707288,unconfirmed,manhattan,flexible,private room,2005,812,162,3,174,3
12405779,verified,brooklyn,moderate,private room,2014,658,132,1,2,3
7781923,unconfirmed,brooklyn,flexible,private room,2015,219,44,1,0,3
54945582,unconfirmed,manhattan,moderate,private room,2009,926,185,1,6,2
56191018,verified,brooklyn,strict,entire home/apt,2014,479,96,4,54,2
16800982,unconfirmed,brooklyn,strict,private room,2010,1064,213,2,5,5
45276466,verified,brooklyn,strict,entire home/apt,2011,58,12,5,1,1
7619547,unconfirmed,manhattan,strict,entire home/apt,2012,390,78,2,3,3
50639299,verified,brooklyn,strict,private room,2019,894,179,3,3,5
12963602,verified,manhattan,moderate,entire home/apt,2015,338,68,2,93,2
46609718,verified,manhattan,moderate,entire home/apt,2020,850,170,7,3,4
30242860,unconfirmed,manhattan,moderate,entire home/apt,2007,342,68,1,19,2
43370478,unconfirmed,brooklyn,strict,private room,2019,724,145,30,0,5
39388395,unconfirmed,queens,moderate,entire home/apt,2007,165,33,1,55,2
34252558,unconfirmed,queens,flexible,entire home/apt,2020,527,105,4,68,4
1104616,unconfirmed,brooklyn,strict,private room,2017,498,100,8,51,3
2863139,verified,manhattan,moderate,entire home/apt,2016,662,132,7,0,2
13296639,verified,brooklyn,flexible,private room,2009,458,92,5,0,3
23483812,verified,brooklyn,strict,entire home/apt,2010,1171,234,2,9,4
56786950,verified,manhattan,flexible,entire home/apt,2016,1138,228,1,0,5
13603165,verified,manhattan,strict,entire home/apt,2016,673,135,3,10,5
16435912,verified,manhattan,flexible,entire home/apt,2010,1117,223,4,39,4
41741746,verified,manhattan,moderate,entire home/apt,2005,946,189,1,0,5
51217557,verified,manhattan,moderate,entire home/apt,2013,716,143,28,12,1
24732562,unconfirmed,bronx,flexible,private room,2011,813,163,5,3,3
21554628,unconfirmed,manhattan,moderate,entire home/apt,2003,641,128,31,0,2
57041008,unconfirmed,bronx,moderate,private room,2004,743,149,3,7,2
23686506,unconfirmed,queens,moderate,entire home/apt,2003,890,178,1,19,3
3086269,unconfirmed,brooklyn,strict,entire home/apt,2016,1137,227,1,0,2
9448212,unconfirmed,manhattan,flexible,entire home/apt,2012,442,88,120,2,5
46022071,verified,queens,flexible,private room,2017,878,176,1,22,4
46758286,unconfirmed,manhattan,flexible,entire home/apt,2022,577,115,1,0,5
25577581,verified,staten island,strict,private room,2003,326,65,21,0,2
28725691,verified,manhattan,strict,private room,2009,1141,228,30,159,2
27853057,unconfirmed,queens,strict,private room,2009,394,79,1,0,2
29412200,verified,brooklyn,moderate,entire home/apt,2019,1118,224,2,125,4
